short_side_640_px,long_side_640_px
23.75,25
23.75,25
18.75,28.75
23.75,37.5
18.75,27.5
22.5,25
18.75,27.5
26.25,28.75
17.5,22.5
18.75,25
22.5,27.5
17.5,21.25
21.25,22.5
21.25,28.75
20,25
17.5,20
20,28.75
16.25,25
23.75,26.25
17.5,22.5
21.25,22.5
25,32.5
17.5,20
26.25,26.25
32.5,48.75
30,32.5
18.75,22.5
21.25,21.25
27.5,40
16.25,18.75
17.5,21.25
17.5,26.25
20,26.25
15,15
26.25,40
17.5,18.75
16.25,22.5
16.25,22.5
16.25,18.75
20,21.25
21.25,25
15,17.5
13.75,18.75
15,20
21.25,22.5
15,15
17.5,22.5
18.75,21.25
15,18.75
17.5,20
16.25,16.25
16.25,21.25
17.5,18.75
16.25,20
17.5,25
15,15
22.5,23.75
17.5,21.25
15,16.25
17.5,18.75
11.25,18.75
16.25,18.75
18.75,18.75
15,23.75
16.25,27.5
27.5,30
18.75,26.25
20,26.25
18.75,25
15.2538860104,15.2901023891
15.2901023891,16.5803108808
18.75,18.75
18.75,23.75
12.5,16.25
16.25,17.5
16.25,16.25
12.5,18.75
18.75,21.25
17.5,20
12.5,21.25
21.25,22.5
21.25,23.75
16.25,18.75
15,17.5
10,26.25
18.75,23.75
18.75,22.5
18.75,20
18.75,21.25
16.25,22.5
13.75,16.25
16.25,17.5
15,20
12.5,12.5
13.75,18.75
13.75,16.25
12.5,16.25
17.5,18.75
16.25,17.5
13.75,15
10,10
12.5,20
16.25,18.75
17.5,18.75
16.25,17.5
11.25,12.5
18.75,28.75
16.25,21.25
18.75,21.25
18.75,20
21.25,22.5
16.25,21.25
20,30
13.75,18.75
13.75,18.75
17.5,17.5
20,22.5
18.75,22.5
22.5,25
16.25,18.75
13.75,15
15,18.75
20,25
17.5,20
16.25,22.5
22.5,33.75
18.75,21.25
17.5,25
11.25,12.5
15,15
12.5,13.75
15,15
16.25,27.5
18.75,28.75
15,18.75
17.5,26.25
23.75,27.5
18.75,30
20,26.25
18.75,23.75
23.75,25
30,30
20,31.25
16.25,25
18.75,22.5
22.5,26.25
18.75,28.75
17.5,21.25
18.75,22.5
21.25,22.5
20,22.5
17.5,21.25
18.75,21.25
20,20
21.25,23.75
16.25,18.75
21.25,21.25
16.25,22.5
16.25,18.75
25,26.25
15,18.75
12.5,17.5
16.25,17.5
13.75,20
15,17.5
16.25,17.5
15,16.25
11.25,17.5
12.5,15
15,16.25
12.5,16.25
15,16.25
12.5597269625,14.5906735751
12.0136518771,15.2538860104
10.9215017065,13.2642487047
20,23.75
15,17.5
15,18.75
17.5,18.75
18.75,20
13.75,18.75
25,28.75
18.75,18.75
13.1058020478,14.5906735751
18.75,23.75
22.5,26.25
18.75,20
17.5,21.25
18.75,21.25
23.75,26.25
22.5,22.5
20,22.5
13.75,17.5
18.75,20
16.25,18.75
20,20
20,21.25
17.5,22.5
18.75,25
16.25,20
18.75,20
16.25,17.5
13.75,15
17.5,22.5
25,32.5
21.25,30
27.5,31.25
21.25,25
20,25
11.25,22.5
15,18.75
17.5,21.25
22.5,31.25
18.75,20
21.25,21.25
16.25,17.5
21.25,23.75
16.25,26.25
17.5,21.25
20,22.5
13.75,22.5
22.5,35
16.25,17.5
18.75,21.25
16.25,18.75
20,23.75
23.75,23.75
21.25,23.75
20,27.5
21.25,26.25
16.25,18.75
28.75,36.25
12.5,18.75
17.5,25
35,48.75
22.5,25
17.5,20
33.75,40
26.25,28.75
17.5,17.5
25,28.75
47.5,58.75
22.5,33.75
16.25,20
18.75,18.75
16.25,17.5
15,21.25
21.25,23.75
23.75,38.75
22.5,33.75
21.25,26.25
13.75,17.5
22.5,26.25
11.25,20
15,25
18.75,20
16.25,22.5
17.5,20
16.25,18.75
14.7440273038,15.9170984456
12.0136518771,15.2538860104
8.19112627986,13.2642487047
12.6010362694,14.7440273038
9.82935153584,13.2642487047
9.82935153584,14.5906735751
10.9215017065,13.9274611399
8.19112627986,12.6010362694
13.6518771331,15.2538860104
12.0136518771,13.9274611399
15,18.75
12.5,20
17.5,21.25
13.75,18.75
13.75,13.75
16.25,16.25
18.75,27.5
17.5,26.25
20.7508532423,27.8549222798
13.6518771331,17.2435233161
14.1979522184,21.2227979275
14.7440273038,27.8549222798
22.5,27.5
27.5,28.75
13.75,16.25
15,16.25
15,18.75
11.25,17.5
18.75,22.5
16.25,20
18.75,20
13.75,15
11.25,21.25
12.5,17.5
17.5,18.75
13.75,13.75
11.25,17.5
13.75,13.75
21.25,27.5
13.75,16.25
13.75,16.25
15,17.5
15,17.5
16.25,18.75
12.5,21.25
16.25,33.75
17.5,21.25
17.5,27.5
20,23.75
16.25,17.5
12.5,16.25
13.75,16.25
21.25,23.75
15,22.5
17.5,23.75
16.25,20
23.75,25
19.1126279863,28.518134715
20,26.25
27.5,35
33.75,33.75
41.25,42.5
16.9283276451,25.2020725389
27.5,30
20,25
20,22.5
28.75,36.25
17.5,22.5
22.5,28.75
26.25,27.5
23.75,28.75
22.5,27.5
25,41.25
13.75,17.5
20,25
17.5,21.25
13.75,18.75
11.25,18.75
20,21.25
26.25,27.5
20,26.25
21.25,22.5
16.25,16.25
13.9274611399,17.4744027304
13.1058020478,15.2538860104
13.9274611399,18.0204778157
14.7440273038,15.9170984456
11.4675767918,12.6010362694
13.75,18.75
23.75,25
17.5,17.5
32.5,38.75
16.25,27.5
18.75,18.75
27.5,30
17.5,25
18.75,23.75
20,20
16.25,23.75
17.5,18.75
25,28.75
22.5,23.75
15.8361774744,19.2331606218
21.25,25
22.5,22.5
22.5,23.75
18.75,30
22.5,33.75
22.5,23.75
18.75,23.75
16.25,21.25
13.75,17.5
16.25,22.5
20,26.25
20,20
23.75,26.25
18.75,20
13.75,20
17.5,18.75
17.5,18.75
21.25,23.75
17.5,17.5
13.75,15
17.5,31.25
16.25,21.25
20.204778157,21.8860103627
13.75,18.75
18.75,26.25
15,18.75
20,25
17.5,20
18.75,21.25
20,21.25
22.5,23.75
18.75,18.75
21.25,22.5
18.75,20
22.5,33.75
16.25,20
23.75,25
24.0273037543,24.5388601036
20,21.25
17.5,20
19.2331606218,28.3959044369
17.9067357513,22.3890784983
25,27.5
13.75,15
16.25,20
16.25,16.25
23.75,25
17.5,21.25
17.5,17.5
20,20
18.75,18.75
20,21.25
18.75,22.5
16.25,18.75
16.25,16.25
23.75,32.5
21.25,26.25
16.25,26.25
22.5,26.25
30,41.25
18.75,22.5
23.75,32.5
22.5,30
21.25,27.5
28.75,30
35,35
25,35
27.5,28.75
25,27.5
21.25,32.5
22.5,28.75
18.75,32.5
20,23.75
20,23.75
18.566552901,24.5388601036
28.75,37.5
28.75,30
26.25,27.5
21.25,30
16.25,21.25
15,25
25,37.5
32.5,33.75
26.25,30
17.5,20
17.5,20
20,23.75
26.25,26.25
20,40
23.75,41.25
21.25,28.75
20,33.75
21.25,22.5
18.75,20
18.75,38.75
22.5,30
